"filename", "language", "Markdown", "Python", "JSON", "pip requirements", "Ini", "comment", "blank", "total"
"d:\project\steam-mod-manager\tools\audit_legacy_backup_assets.py", "Python", 0, 258, 0, 0, 0, 15, 25, 298
"d:\project\steam-mod-manager\tools\audit_legacy_info_assets.py", "Python", 0, 96, 0, 0, 0, 10, 14, 120
"d:\project\steam-mod-manager\tools\audit_legacy_info_assets_manifest.py", "Python", 0, 65, 0, 0, 0, 9, 11, 85
"d:\project\steam-mod-manager\tools\audit_offline_web_assets.py", "Python", 0, 1251, 0, 0, 0, 72, 133, 1456
"d:\project\steam-mod-manager\tools\census_backup_consistency.py", "Python", 0, 211, 0, 0, 0, 5, 19, 235
"d:\project\steam-mod-manager\tools\cleanup_cache.py", "Python", 0, 139, 0, 0, 0, 19, 22, 180
"d:\project\steam-mod-manager\tools\cleanup_duplicate_workspace_mods.py", "Python", 0, 668, 0, 0, 0, 45, 91, 804
"d:\project\steam-mod-manager\tools\cleanup_legacy_info_assets.py", "Python", 0, 250, 0, 0, 0, 15, 20, 285
"d:\project\steam-mod-manager\tools\cleanup_legacy_suffix_folders.py", "Python", 0, 757, 0, 0, 0, 61, 103, 921
"d:\project\steam-mod-manager\tools\cleanup_legacy_workspace_backup.py", "Python", 0, 163, 0, 0, 0, 11, 15, 189
"d:\project\steam-mod-manager\tools\cleanup_stardew_workspace_duplicates.py", "Python", 0, 510, 0, 0, 0, 37, 78, 625
"d:\project\steam-mod-manager\tools\custom_deploy_path_audit.py", "Python", 0, 44, 0, 0, 0, 2, 10, 56
"d:\project\steam-mod-manager\tools\custom_deploy_path_repair.py", "Python", 0, 224, 0, 0, 0, 9, 25, 258
"d:\project\steam-mod-manager\tools\deploy_smoke_runner.py", "Python", 0, 486, 0, 0, 0, 29, 73, 588
"d:\project\steam-mod-manager\tools\deployment_manifest_readonly_audit.py", "Python", 0, 875, 0, 0, 0, 33, 90, 998
"d:\project\steam-mod-manager\tools\diagnose_mod_path_identity_conflict.py", "Python", 0, 493, 0, 0, 0, 44, 60, 597
"d:\project\steam-mod-manager\tools\diagnose_steam_workshop_network.py", "Python", 0, 336, 0, 0, 0, 20, 39, 395
"d:\project\steam-mod-manager\tools\finalize_legacy_backups.py", "Python", 0, 79, 0, 0, 0, 2, 13, 94
"d:\project\steam-mod-manager\tools\identity_cleanup_audit.py", "Python", 0, 416, 0, 0, 0, 48, 45, 509
"d:\project\steam-mod-manager\tools\identity_cleanup_migration_report.py", "Python", 0, 96, 0, 0, 0, 27, 15, 138
"d:\project\steam-mod-manager\tools\identity_collision_apply.py", "Python", 0, 377, 0, 0, 0, 37, 31, 445
"d:\project\steam-mod-manager\tools\identity_collision_audit.py", "Python", 0, 239, 0, 0, 0, 21, 21, 281
"d:\project\steam-mod-manager\tools\identity_collision_common.py", "Python", 0, 195, 0, 0, 0, 11, 43, 249
"d:\project\steam-mod-manager\tools\identity_collision_preview.py", "Python", 0, 199, 0, 0, 0, 14, 18, 231
"d:\project\steam-mod-manager\tools\identity_data_hygiene_audit.py", "Python", 0, 619, 0, 0, 0, 48, 64, 731
"d:\project\steam-mod-manager\tools\identity_data_hygiene_plan.py", "Python", 0, 265, 0, 0, 0, 17, 26, 308
"d:\project\steam-mod-manager\tools\identity_data_migration_review.py", "Python", 0, 439, 0, 0, 0, 24, 48, 511
"d:\project\steam-mod-manager\tools\identity_duplicate_cleanup.py", "Python", 0, 353, 0, 0, 0, 35, 53, 441
"d:\project\steam-mod-manager\tools\identity_full_rebuild_apply.py", "Python", 0, 540, 0, 0, 0, 72, 56, 668
"d:\project\steam-mod-manager\tools\identity_full_rebuild_audit.py", "Python", 0, 63, 0, 0, 0, 12, 11, 86
"d:\project\steam-mod-manager\tools\identity_full_rebuild_common.py", "Python", 0, 321, 0, 0, 0, 25, 52, 398
"d:\project\steam-mod-manager\tools\identity_full_rebuild_preview.py", "Python", 0, 99, 0, 0, 0, 20, 16, 135
"d:\project\steam-mod-manager\tools\identity_hybrid_pollution_recovery.py", "Python", 0, 829, 0, 0, 0, 45, 88, 962
"d:\project\steam-mod-manager\tools\identity_pollution_report.py", "Python", 0, 64, 0, 0, 0, 1, 10, 75
"d:\project\steam-mod-manager\tools\identity_rebuild_mapping.py", "Python", 0, 205, 0, 0, 0, 19, 33, 257
"d:\project\steam-mod-manager\tools\identity_rebuild_runtime_migrate.py", "Python", 0, 330, 0, 0, 0, 60, 38, 428
"d:\project\steam-mod-manager\tools\identity_recovery_apply_restore.py", "Python", 0, 538, 0, 0, 0, 22, 74, 634
"d:\project\steam-mod-manager\tools\identity_recovery_audit.py", "Python", 0, 602, 0, 0, 0, 39, 62, 703
"d:\project\steam-mod-manager\tools\identity_recovery_manual_review.py", "Python", 0, 313, 0, 0, 0, 15, 54, 382
"d:\project\steam-mod-manager\tools\identity_recovery_plan.py", "Python", 0, 413, 0, 0, 0, 26, 42, 481
"d:\project\steam-mod-manager\tools\identity_repair_preview.py", "Python", 0, 373, 0, 0, 0, 17, 44, 434
"d:\project\steam-mod-manager\tools\metadata_ownership_audit.py", "Python", 0, 327, 0, 0, 0, 14, 36, 377
"d:\project\steam-mod-manager\tools\metadata_ownership_common.py", "Python", 0, 181, 0, 0, 0, 8, 39, 228
"d:\project\steam-mod-manager\tools\metadata_ownership_repair.py", "Python", 0, 417, 0, 0, 0, 9, 45, 471
"d:\project\steam-mod-manager\tools\migrate_backup_assets_to_store.py", "Python", 0, 88, 0, 0, 0, 11, 14, 113
"d:\project\steam-mod-manager\tools\migrate_info_assets_to_store.py", "Python", 0, 86, 0, 0, 0, 12, 15, 113
"d:\project\steam-mod-manager\tools\migrate_mod_id_continuity.py", "Python", 0, 363, 0, 0, 0, 211, 22, 596
"d:\project\steam-mod-manager\tools\p0_data_hygiene_audit.py", "Python", 0, 490, 0, 0, 0, 14, 48, 552
"d:\project\steam-mod-manager\tools\phase6_validate_info_cas_runtime.py", "Python", 0, 255, 0, 0, 0, 14, 29, 298
"d:\project\steam-mod-manager\tools\post_identity_rebuild_runtime_audit.py", "Python", 0, 248, 0, 0, 0, 18, 40, 306
"d:\project\steam-mod-manager\tools\probe_balatro_miss_cover.py", "Python", 0, 183, 0, 0, 0, 5, 26, 214
"d:\project\steam-mod-manager\tools\probe_library_refresh.py", "Python", 0, 210, 0, 0, 0, 19, 31, 260
"d:\project\steam-mod-manager\tools\prune_offline_view.py", "Python", 0, 84, 0, 0, 0, 16, 16, 116
"d:\project\steam-mod-manager\tools\purge_legacy_info_assets.py", "Python", 0, 44, 0, 0, 0, 9, 10, 63
"d:\project\steam-mod-manager\tools\rebuild_legacy_info_manifests.py", "Python", 0, 154, 0, 0, 0, 13, 19, 186
"d:\project\steam-mod-manager\tools\repair_mod_path_identity_conflict.py", "Python", 0, 259, 0, 0, 0, 43, 40, 342
"d:\project\steam-mod-manager\ui\__init__.py", "Python", 0, 2, 0, 0, 0, 1, 3, 6
"d:\project\steam-mod-manager\ui\background_asset_thread.py", "Python", 0, 54, 0, 0, 0, 11, 12, 77
"d:\project\steam-mod-manager\ui\collection_card.py", "Python", 0, 391, 0, 0, 0, 12, 61, 464
"d:\project\steam-mod-manager\ui\collection_cover_dialog.py", "Python", 0, 109, 0, 0, 0, 2, 20, 131
"d:\project\steam-mod-manager\ui\collection_membership_dialog.py", "Python", 0, 74, 0, 0, 0, 2, 10, 86
"d:\project\steam-mod-manager\ui\dependency_item_widget.py", "Python", 0, 194, 0, 0, 0, 20, 39, 253
"d:\project\steam-mod-manager\ui\deploy_thread.py", "Python", 0, 89, 0, 0, 0, 14, 13, 116
"d:\project\steam-mod-manager\ui\edit_mod_dialog.py", "Python", 0, 348, 0, 0, 0, 30, 44, 422
"d:\project\steam-mod-manager\ui\flow_layout.py", "Python", 0, 128, 0, 0, 0, 7, 30, 165
"d:\project\steam-mod-manager\ui\game_deploy_view.py", "Python", 0, 343, 0, 0, 0, 19, 53, 415
"d:\project\steam-mod-manager\ui\game_info_worker.py", "Python", 0, 30, 0, 0, 0, 3, 10, 43
"d:\project\steam-mod-manager\ui\game_preview_card.py", "Python", 0, 93, 0, 0, 0, 2, 22, 117
"d:\project\steam-mod-manager\ui\import_thread.py", "Python", 0, 602, 0, 0, 0, 20, 47, 669
"d:\project\steam-mod-manager\ui\library_load_thread.py", "Python", 0, 42, 0, 0, 0, 2, 13, 57
"d:\project\steam-mod-manager\ui\library_query.py", "Python", 0, 510, 0, 0, 0, 78, 77, 665
"d:\project\steam-mod-manager\ui\library_view.py", "Python", 0, 4693, 0, 0, 0, 290, 428, 5411
"d:\project\steam-mod-manager\ui\library_viewport.py", "Python", 0, 134, 0, 0, 0, 26, 17, 177
"d:\project\steam-mod-manager\ui\main_window.py", "Python", 0, 225, 0, 0, 0, 26, 42, 293
"d:\project\steam-mod-manager\ui\metadata_refresh_thread.py", "Python", 0, 211, 0, 0, 0, 6, 30, 247
"d:\project\steam-mod-manager\ui\mod_card.py", "Python", 0, 1316, 0, 0, 0, 58, 140, 1514
"d:\project\steam-mod-manager\ui\mod_detail_dialog.py", "Python", 0, 545, 0, 0, 0, 12, 75, 632
"d:\project\steam-mod-manager\ui\mod_detail_panel.py", "Python", 0, 5113, 0, 0, 0, 294, 530, 5937
"d:\project\steam-mod-manager\ui\mod_edit_dialog.py", "Python", 0, 98, 0, 0, 0, 6, 21, 125
"d:\project\steam-mod-manager\ui\mod_files_ux.py", "Python", 0, 365, 0, 0, 0, 58, 69, 492
"d:\project\steam-mod-manager\ui\mod_import_dialog.py", "Python", 0, 954, 0, 0, 0, 56, 96, 1106
"d:\project\steam-mod-manager\ui\mod_picker_dialog.py", "Python", 0, 128, 0, 0, 0, 10, 19, 157
"d:\project\steam-mod-manager\ui\offline_archive_thread.py", "Python", 0, 126, 0, 0, 0, 13, 15, 154
